"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.65046446904559e-11,1.21008410737316,0.132,0.062,5.53532773628508e-07,"Alpha cell","ZNF439"
1.71113471541915e-11,2.56899675990544,0.035,0.006,5.73880360857273e-07,"Alpha cell","AL160191.1"
1.71870646602857e-11,3.75841831395132,0.024,0.002,5.76419774576662e-07,"Alpha cell","AP005203.1"
1.77423012793436e-11,2.56055309282433,0.035,0.006,5.95041300306626e-07,"Alpha cell","CFAP126"
1.79793129727102e-11,2.58882443898709,0.035,0.006,6.02990198478755e-07,"Alpha cell","USP50"
1.80436986844078e-11,3.29683680746077,0.024,0.002,6.05149566477669e-07,"Alpha cell","AP002954.1"
1.81610296046666e-11,3.06620355071172,0.024,0.002,6.09084610881308e-07,"Alpha cell","AF106564.1"
1.88776038279561e-11,3.1627442670048,0.027,0.004,6.33117077181991e-07,"Alpha cell","AC096577.1"
1.8911457036189e-11,2.84076531223462,0.024,0.002,6.34252446079705e-07,"Alpha cell","FNDC7"
1.95854380832653e-11,2.23491106389947,0.035,0.006,6.5685642243655e-07,"Alpha cell","SLC9A5"
1.96311801191733e-11,1.42620177076687,0.065,0.02,6.58390518836833e-07,"Alpha cell","CDH2"
2.0436599071397e-11,2.61381026370253,0.027,0.004,6.85402659656513e-07,"Alpha cell","GRIN2D"
2.08436823368343e-11,2.75298596188377,0.032,0.005,6.99055418212749e-07,"Alpha cell","SLC25A34"
2.1390795942127e-11,1.32462319368196,0.117,0.052,7.17404514307055e-07,"Alpha cell","DENND2C"
2.14981216648892e-11,1.84093034481477,0.047,0.012,7.21004004397053e-07,"Alpha cell","AP002518.2"
2.153994303423e-11,1.4640502869899,0.04,0.008,7.22406609482007e-07,"Alpha cell","NWD1"
2.16242378358755e-11,2.77745433727131,0.032,0.005,7.25233688539592e-07,"Alpha cell","AC008554.1"
2.18700815909914e-11,1.83083114725184,0.046,0.011,7.33478796398668e-07,"Alpha cell","ESRRB"
2.19329842521692e-11,1.1111261844517,0.122,0.055,7.35588425849251e-07,"Alpha cell","LINC00598"
2.29685218766472e-11,1.0418939112642,0.212,0.121,7.70318286698993e-07,"Alpha cell","ZNF248"
2.30268211537334e-11,2.82814378242843,0.03,0.004,7.72273527853909e-07,"Alpha cell","LINC01841"
2.33515179806701e-11,1.83466962757705,0.052,0.014,7.83163210035714e-07,"Alpha cell","TSPOAP1-AS1"
2.38133906417728e-11,1.24307277708366,0.072,0.024,7.98653495343776e-07,"Alpha cell","KCNK12"
2.40895688641844e-11,2.08303214420577,0.04,0.008,8.07915960567017e-07,"Alpha cell","SLC22A1"
2.43051213426629e-11,4.02946089407732,0.022,0.002,8.15145159590229e-07,"Alpha cell","AC098617.1"
2.45503271622726e-11,3.44248210140926,0.022,0.002,8.233688723683e-07,"Alpha cell","GUCY2D"
2.49226828381334e-11,3.64044406468938,0.022,0.002,8.35856937025317e-07,"Alpha cell","AC003666.1"
2.56840543813732e-11,2.66346932692996,0.022,0.002,8.61391815842494e-07,"Alpha cell","AC009654.1"
2.6423739107581e-11,2.01527191383195,0.074,0.025,8.86199362190053e-07,"Alpha cell","PXDNL"
2.67619785226724e-11,2.08443040040067,0.077,0.028,8.97543235693386e-07,"Alpha cell","FANCM"
2.69313252476854e-11,1.78344421667394,0.061,0.019,9.03222786156874e-07,"Alpha cell","MEIOB"
2.70015733365766e-11,5.56742835843115,0.015,0,9.05578766562107e-07,"Alpha cell","AL162632.1"
2.71877121861832e-11,1.02966475988666,0.132,0.062,9.11821491300212e-07,"Alpha cell","CAPS2"
2.7189476550876e-11,5.64733546528545,0.015,0,9.1188066456328e-07,"Alpha cell","FNDC1"
2.72523949253924e-11,5.36882174204788,0.015,0,9.13990821007811e-07,"Alpha cell","LINC02520"
2.72523949253924e-11,4.96492653180671,0.015,0,9.13990821007811e-07,"Alpha cell","GJA10"
2.73662945307886e-11,1.57135791664898,0.036,0.007,9.17810785973589e-07,"Alpha cell","MYH11"
2.7378659516883e-11,5.15499386483814,0.015,0,9.18225482877222e-07,"Alpha cell","DAW1"
2.75691307528195e-11,4.7658380222903,0.015,0,9.24613507188062e-07,"Alpha cell","NPHS2"
2.75691307528195e-11,4.8200884824169,0.015,0,9.24613507188062e-07,"Alpha cell","AC023300.2"
2.7718029803412e-11,1.02879935401635,0.155,0.078,9.2960728354683e-07,"Alpha cell","ST3GAL5"
2.77267418761047e-11,1.017666670319,0.121,0.054,9.29899469040801e-07,"Alpha cell","FAM117A"
2.95734696925452e-11,1.36016370427823,0.237,0.145,9.91835026548581e-07,"Alpha cell","MYSM1"
2.976220327364e-11,3.14478687291211,0.026,0.003,9.9816477339134e-07,"Alpha cell","AC036108.1"
3.03811441766017e-11,1.18503565873506,0.082,0.03,1.01892281339487e-06,"Alpha cell","GAP43"
3.13488806168632e-11,2.30917007584337,0.037,0.007,1.05137875812836e-06,"Alpha cell","ADGRD1"
3.1891741202963e-11,1.03732183762352,0.151,0.075,1.06958521646497e-06,"Alpha cell","AL035530.2"
3.28462640353228e-11,3.81993065226571,0.021,0.002,1.10159800321665e-06,"Alpha cell","AC068633.1"
3.31876098532072e-11,2.58892139091809,0.026,0.003,1.11304605925686e-06,"Alpha cell","PLPP4"
